Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
373,23,6,0,0,0.565764,0.835837,0,3615.861346
374,24,6,0,1.145722,0.020888,0.072241,0,3605.596814
375,25,6,42.096622,22.960088,0.991851,22.104901,16.262461,61.693432
376,26,6,13.083751,0,0.017134,3.236008,0,3395.333731
377,27,6,9.284214,0,0.014404,2.645333,0,3441.369393
378,28,6,8.443405,0,0.027574,2.768932,0,3390.38348
379,29,6,38.64987,32.72588,0.89391,22.104901,17.711356,63.69836
380,30,6,30.834736,0.895166,0.29365,10.17369,0.720323,42.165214
381,31,6,0.209539,0.547958,0.077185,0.23422,0,1543.912313
382,32,6,1.94135,16.110201,0.484494,2.666141,13.156815,83.415779
383,33,6,0,100,0.199044,2.109106,0,3577.807973
384,34,6,0,0,0.005867,0.058072,0,3608.17039
385,35,6,4.214619,0,0.025793,1.933793,0,3458.095591
386,36,6,10.094448,0,0.098722,3.048991,0,3156.223365
387,37,6,26.811964,0,0,0.055351,0,3608.188443
388,38,6,28.054815,4.709296,0.632642,13.336433,8.012965,40.124662
389,39,6,39.683936,100,0.659211,22.104901,18.50523,69.4917
390,40,6,100,0,0.976531,6.130599,0,3114.371219
391,41,6,6.744138,0,0.012259,1.999188,0,3486.739224
392,42,6,31.182408,86.274769,2,20.537472,22.487961,64.677968
393,43,6,0,13.533973,0.698919,1.078086,0,3610.240384
394,44,6,87.1853,20.374068,1.301799,22.104901,16.664866,73.377978
395,45,6,63.230355,45.568457,0.154509,22.104901,18.405546,77.231743
396,46,6,8.812851,19.78735,2,6.002085,31.259755,55.815557
397,47,6,95.419236,3.345087,0,22.104901,16.63924,83.730178
398,48,6,20.550534,31.101284,0.521858,15.107467,23.170492,60.591907
399,49,6,100,0,0.001394,4.489186,0,3450.545222
400,50,6,0,1.079139,1.593659,0.620093,0,3628.83668
401,51,6,66.201823,39.601865,0.171778,22.104901,17.774145,78.202999
402,52,6,14.674441,0,0.017101,3.410523,0,3384.959987
403,53,6,50.102961,94.066788,0.691578,22.104901,18.249357,72.098498
404,54,6,49.150281,2.579924,0.890674,13.379529,1.146396,45.751589
405,55,6,0,54.902003,0,2.905468,0,3963.191561
406,56,6,3.680659,100,0.451201,4.986197,22.046279,77.908497
407,57,6,100,25.890745,0,22.104901,15.52689,78.870063
408,58,6,100,11.699118,0,22.104901,15.470636,82.957724
409,59,6,1.195703,0.801331,0.023225,1.346388,0.069045,100.482718
410,60,6,72.251506,0,0.550827,5.136213,0,3152.749596
411,61,6,11.056783,49.217412,2,8.199545,30.660221,64.747392
412,62,6,70.730694,35.412512,0.365143,22.104901,19.41551,82.002938
413,63,6,38.797053,68.320246,0,22.104901,17.200523,72.200378
414,64,6,32.625871,27.462558,0,22.060149,22.594362,72.156678
415,65,6,0,0.938291,0,0.067584,0,3606.05858
416,66,6,100,20.778904,0.326077,22.104901,18.527844,92.253944
417,67,6,16.539661,0,1.574659,3.872578,0,3218.709668
